Dấu thời gian,trainee,id,최종 학위 수준,출신 학교 수준,학점,총 경력 연수,직무 연관성,성과 및 기여도,전문교육 수료 여부,기업 내 교육 참여,자기개발 노력,직무 관련 자격증 (적합도),자격증 수준,자격증 최신성,기타
02/07/2025 15:09:47,01,25,학사,중상위권 대학,3.5~3.99 / B+,1-2년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 2개 이상 수료,단기 교육만 있음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 15:15:10,01,26,학사,중상위권 대학,3.5~3.99 / B+,1-2년,일부 유사,관련 정보 없음,없음,없음,관련 없음,보통,기초 수준 자격,무효/만료,
02/07/2025 15:17:42,01,27,학사,중상위권 대학,4.0 이상 / A 이상,3-5년,일부 유사,관련 정보 없음,없음,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 15:19:59,01,28,석사,중상위권 대학,4.0 이상 / A 이상,1-2년,완전 일치,수치화된 성과 및 수상 다수,없음,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 15:22:36,01,29,학사,중상위권 대학,3.5~3.99 / B+,1-2년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 1개 수료,기본 교육 이수,"지속적 학습, 자격 취득 노력 있음",보통,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 15:24:28,01,30,학사,중상위권 대학,4.0 이상 / A 이상,3-5년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",없음,없음,관련 없음,보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 9:48:42,06,02,학사,국내외 최상위권 대학,3.5~3.99 / B+,1년 미만,일부 유사,관련 정보 없음,없음,없음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 9:51:17,06,03,학사,국내외 최상위권 대학,4.0 이상 / A 이상,1년 미만,유사 직무 다수 경험,"성실 근무, 무평가",최근 3년 내 2개 이상 수료,없음,관련 분야 학습 기록 있음,높음,"난이도 상, 실무 강력 지원",3~5년 이내 취득,
02/07/2025 9:55:37,06,04,학사,국내외 최상위권 대학,3.5~3.99 / B+,1-2년,유사 직무 다수 경험,"성실 근무, 무평가",없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:09:13,06,05,박사 이상,중상위권 대학,4.0 이상 / A 이상,6-9년,완전 일치,관련 정보 없음,없음,없음,"지속적 학습, 자격 취득 노력 있음",매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:23:41,06,06,석사,국내외 최상위권 대학,4.0 이상 / A 이상,3-5년,유사 직무 다수 경험,"성실 근무, 무평가",없음,없음,"지속적 학습, 자격 취득 노력 있음",보통,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 10:27:00,06,07,학사,국내외 최상위권 대학,4.0 이상 / A 이상,1년 미만,일부 유사,관련 정보 없음,오래된 교육만 있음,없음,관련 분야 학습 기록 있음,보통,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 10:33:27,06,09,석사,국내외 최상위권 대학,4.0 이상 / A 이상,6-9년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최신 트렌드 반영된 전문 교육 다수,핵심 교육 참여 및 발표 경험,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 10:35:29,06,10,학사,상위권 대학,4.0 이상 / A 이상,3-5년,완전 일치,관련 정보 없음,없음,없음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",3~5년 이내 취득,
02/07/2025 10:37:47,06,12,학사,중상위권 대학,3.0~3.49 / B,1년 미만,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:40:34,06,13,학사,중상위권 대학,3.0~3.49 / B,1년 미만,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:52:27,06,14,학사,중상위권 대학,3.0~3.49 / B,1년 미만,무관한 분야,관련 정보 없음,없음,없음,계획은 있으나 이행 부족,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:01:10,06,15,학사,중상위권 대학,3.0~3.49 / B,1년 미만,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:02:22,06,16,학사,무인증 교육기관,3.5~3.99 / B+,1년 미만,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:04:47,06,17,학사,중상위권 대학,4.0 이상 / A 이상,1년 미만,일부 유사,관련 정보 없음,최신 트렌드 반영된 전문 교육 다수,없음,관련 분야 학습 기록 있음,매우 높음,"난이도 상, 실무 강력 지원",무효/만료,
02/07/2025 11:06:53,06,18,학사,중상위권 대학,4.0 이상 / A 이상,1년 미만,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:10:41,06,19,학사,중상위권 대학,3.5~3.99 / B+,6-9년,유사 직무 다수 경험,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:12:13,06,20,학사,상위권 대학,3.0~3.49 / B,6-9년,유사 직무 다수 경험,관련 정보 없음,없음,없음,"지속적 학습, 자격 취득 노력 있음",매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:14:47,06,21,학사,국내외 최상위권 대학,4.0 이상 / A 이상,1년 미만,유사 직무 다수 경험,수치화된 성과 및 수상 다수,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 11:17:18,06,30,석사,상위권 대학,4.0 이상 / A 이상,3-5년,일부 유사,관련 정보 없음,최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:39:14,06,31,학사,중상위권 대학,3.5~3.99 / B+,1년 미만,완전 일치,"성실 근무, 무평가",최근 3년 내 1개 수료,없음,관련 분야 학습 기록 있음,보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 14:41:01,06,32,학사,중상위권 대학,2.49 이하,1년 미만,일부 유사,"성실 근무, 무평가",최근 3년 내 2개 이상 수료,없음,관련 분야 학습 기록 있음,높음,"난이도 중, 실무 일부 지원",3~5년 이내 취득,
02/07/2025 16:45:25,07,01,석사,중상위권 대학,3.5~3.99 / B+,6-9년,직무 전환 경험 있음,"성실 근무, 무평가",최근 3년 내 1개 수료,없음,계획은 있으나 이행 부족,보통,실무 관련성 낮음,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 9:42:02,07,02,학사,중상위권 대학,3.0~3.49 / B,3-5년,직무 전환 경험 있음,관련 정보 없음,최근 3년 내 1개 수료,없음,관련 없음,매우 낮음,실무 관련성 낮음,오래되었고 활용 미미,
02/07/2025 9:46:05,07,03,학사,중상위권 대학,3.5~3.99 / B+,3-5년,완전 일치,성과 기재 부족,최근 3년 내 1개 수료,기본 교육 이수,학습 시도 1회 이상,매우 높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 9:50:04,07,04,석사,중상위권 대학,3.5~3.99 / B+,3-5년,일부 유사,성과 기재 부족,오래된 교육만 있음,단기 교육만 있음,학습 시도 1회 이상,낮음,실무 관련성 낮음,"5년 이상 경과, 갱신 예정",
02/07/2025 9:52:14,07,05,석사,중상위권 대학,3.5~3.99 / B+,6-9년,직무 전환 경험 있음,성과 기재 부족,없음,단기 교육만 있음,관련 없음,매우 낮음,실무 관련성 낮음,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 9:54:59,07,06,석사,중상위권 대학,3.5~3.99 / B+,6-9년,유사 직무 다수 경험,"성실 근무, 무평가",오래된 교육만 있음,기본 교육 이수,계획은 있으나 이행 부족,보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 9:56:13,07,07,석사,중상위권 대학,3.5~3.99 / B+,6-9년,일부 유사,성과 기재 부족,없음,단기 교육만 있음,계획은 있으나 이행 부족,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:06:40,07,08,학사,하위권 대학,4.0 이상 / A 이상,10년 이상,무관한 분야,관련 정보 없음,없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:08:30,07,09,학사,상위권 대학,3.5~3.99 / B+,6-9년,일부 유사,"성실 근무, 무평가",없음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:18:59,07,10,학사,중상위권 대학,3.0~3.49 / B,3-5년,무관한 분야,관련 정보 없음,없음,없음,관련 없음,낮음,무의미/불명확 자격,무효/만료,
02/07/2025 10:27:22,07,11,학사,중상위권 대학,3.5~3.99 / B+,3-5년,유사 직무 다수 경험,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,기본 교육 이수,관련 분야 학습 기록 있음,높음,"난이도 상, 실무 강력 지원",3~5년 이내 취득,
02/07/2025 10:30:30,07,12,석사,상위권 대학,3.5~3.99 / B+,6-9년,유사 직무 다수 경험,"성실 근무, 무평가",최근 3년 내 1개 수료,단기 교육만 있음,계획은 있으나 이행 부족,낮음,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 10:34:36,07,13,석사,중상위권 대학,3.5~3.99 / B+,3-5년,유사 직무 다수 경험,"성실 근무, 무평가",최신 트렌드 반영된 전문 교육 다수,없음,학습 시도 1회 이상,보통,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 10:37:22,07,14,학사,중상위권 대학,3.5~3.99 / B+,1-2년,일부 유사,"성실 근무, 무평가",최근 3년 내 2개 이상 수료,단기 교육만 있음,학습 시도 1회 이상,높음,"난이도 중, 실무 일부 지원",3~5년 이내 취득,
02/07/2025 10:39:48,07,15,학사,중상위권 대학,4.0 이상 / A 이상,1-2년,유사 직무 다수 경험,성과 기재 부족,없음,없음,관련 없음,높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 10:42:10,07,16,학사,하위권 대학,4.0 이상 / A 이상,3-5년,일부 유사,관련 정보 없음,오래된 교육만 있음,없음,관련 없음,매우 낮음,무의미/불명확 자격,무효/만료,
